Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Martin Atomic 3000 LED,135° x 82°,740W,,,1004,,D.238,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"-7,793m","4,715m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,ab34d4ca-1e38-428f-8597-ca5f038e7e8e,
Martin Atomic 3000 LED,135° x 82°,740W,,,1003,,D.235,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"-11,467m","7,182m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,71fd82a0-ede1-4291-a556-7041acdc2699,
Martin Atomic 3000 LED,135° x 82°,740W,,,1002,,D.232,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"-13,608m","7,167m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,3729076c-f4bf-4317-bf67-3bdc7bbb2c99,
Martin Atomic 3000 LED,135° x 82°,740W,,,1001,,D.229,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"-17,227m","4,735m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,111c8952-f29b-4443-94ba-3d8906381fca,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1120,,D.293,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"-2,383m","4,345m","3,532m",-90°,0°,0°,-180°,90°,No,,,No,,,f3eb81b8-9e93-412f-9d21-4f11b93e571e,
Martin Atomic 3000 LED,135° x 82°,740W,,,1014,,D.268,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"-1,038m","4,847m","3,559m",-90°,0°,0°,-180°,90°,No,,,No,,,dfc23836-a35b-49b6-b579-f65398b4e3d6,
Martin Atomic 3000 LED,135° x 82°,740W,,,1009,,D.253,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"3,806m","4,846m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,66cb9677-05c8-40d5-95cd-96718085435f,
Martin Atomic 3000 LED,135° x 82°,740W,,,1008,,D.250,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"1,118m","8,060m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,010b31e6-fd9a-4dd5-9e4a-a853c1f9a7c1,
Martin Atomic 3000 LED,135° x 82°,740W,,,1010,,D.256,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"7,793m","4,715m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,b8fdb52e-e12c-4a55-be5c-62f9ce358c20,
Martin Atomic 3000 LED,135° x 82°,740W,,,1011,,D.259,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"11,467m","7,182m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,618e04b2-698d-4407-8f26-2e4c6e1b22e6,
Martin Atomic 3000 LED,135° x 82°,740W,,,1012,,D.262,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"13,608m","7,167m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,6bad6540-6b49-4db6-a317-cdccc93148f4,
Martin Atomic 3000 LED,135° x 82°,740W,,,1013,,D.265,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"17,227m","4,735m","0,118m",-90°,0°,0°,-180°,90°,No,,,No,,,36146bb2-6187-4175-bd6d-721b47e4d3e0,
James Thomas Engineering Molefay 8 Cell Blinder,35°,5200W,,,1121,,D.294,Control,1,1.7 8Cell Molefay,,,,,,,10kg,,"2,383m","4,345m","3,532m",-90°,0°,0°,-180°,90°,No,,,No,,,cc4f6486-65bc-4551-b2df-200628c9cedc,
Martin Atomic 3000 LED,135° x 82°,740W,,,1015,,D.271,3 Channel Mode,3,1.8 Martin Atomic 3000 LED,,,,,,,"7,8kg",,"1,038m","4,847m","3,559m",-90°,0°,0°,-180°,90°,No,,,No,,,b7dd18bd-8e34-408c-a978-7b8f60593478,
Martin MAC Quantum Profile,12° - 36°,750W,,,101,,A.81,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-18,359m","4,948m","0,118m","-0,0°","-0,0°","-173,3°",-90°,173°,No,0°,0°,No,0°,0°,82ca6d5a-08bf-40a8-b29a-1aedd76a3618,
Martin MAC Quantum Profile,12° - 36°,750W,,,102,,A.100,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-16,248m","5,550m","0,118m","-0,0°","-0,0°","-155,3°",-90°,155°,No,0°,0°,No,0°,0°,2508ec46-51dc-4290-bd34-0468af91c57c,
Martin MAC Quantum Profile,12° - 36°,750W,,,103,,A.119,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-14,504m","6,750m","0,118m","0,0°","0,0°","-137,3°",-90°,137°,No,0°,0°,No,0°,0°,1340ba81-b64d-4a95-b53d-0ec19b843b60,
Martin MAC Quantum Profile,12° - 36°,750W,,,104,,A.138,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-13,267m","8,360m","0,118m","-0,0°","0,0°","-119,3°",-90°,119°,No,0°,0°,No,0°,0°,92e99a7a-75d5-4335-ab35-4b8825a15a85,
Martin MAC Quantum Profile,12° - 36°,750W,,,105,,A.157,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-11,770m","8,330m","0,118m","-0,0°","0,0°","119,2°",-270°,119°,No,0°,0°,No,0°,0°,6d4bf530-dfdc-4398-a4ca-56d43b8c7321,
Martin MAC Quantum Profile,12° - 36°,750W,,,106,,A.176,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-10,405m","6,611m","0,118m","-0,0°","0,0°","137,2°",-270°,137°,No,0°,0°,No,0°,0°,85a5e1c5-a397-49cf-8e7e-56455fd32626,
Martin MAC Quantum Profile,12° - 36°,750W,,,107,,A.195,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-8,627m","5,460m","0,118m","0,0°","-0,0°","155,2°",-270°,155°,No,0°,0°,No,0°,0°,8b28a6d8-6fa0-491d-a492-402ed156663f,
Martin MAC Quantum Profile,12° - 36°,750W,,,108,,A.214,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-6,666m","4,935m","0,118m","0,0°","0,0°","173,2°",-270°,173°,No,0°,0°,No,0°,0°,ffb55adf-d8f0-419d-8238-0b3e95fd2979,
Martin MAC Quantum Profile,12° - 36°,750W,,,109,,A.233,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-4,954m","4,933m","0,118m","0,0°","-0,0°","-173,3°",-90°,173°,No,0°,0°,No,0°,0°,d198fac1-4c7d-4d1f-b392-8b194a181b18,
Martin MAC Quantum Profile,12° - 36°,750W,,,110,,A.252,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-3,297m","5,631m","0,118m","-0,0°","0,0°","-141,8°",-90°,141°,No,0°,0°,No,0°,0°,254b8745-832e-4d19-9800-833866fb5b22,
Martin MAC Quantum Profile,12° - 36°,750W,,,111,,A.271,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-2,163m","6,857m","0,118m","-0,0°","0,0°","-123,8°",-90°,123°,No,0°,0°,No,0°,0°,84b79d95-475a-4a72-9049-b5e78fe32a0b,
Martin MAC Quantum Profile,12° - 36°,750W,,,112,,A.290,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-1,383m","8,339m","0,118m","-0,0°","0,0°","-110,3°",-90°,110°,No,0°,0°,No,0°,0°,f9172bbf-293c-46f8-bec8-729838e3ef99,
Martin MAC Quantum Profile,12° - 36°,750W,,,113,,A.309,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-1,000m","9,922m","0,118m","-0,0°","0,0°","-96,8°",-90°,96°,No,0°,0°,No,0°,0°,48ec2898-d821-448a-a988-8e7bb9680055,
Martin MAC Quantum Profile,12° - 36°,750W,,,114,,A.328,Basic 16-Bit,19,1.3 Martin Quantum Profile,,,,,,,"23,2kg",,"-0,898m","11,505m","0,118m","-0,0°","0,0°","-96,8°",-90°,96°,No,0°,0°,No,0°,0°,1f81198d-f67b-4387-b34e-332db5a5b557,
